society_name,price,location,area
,₹2.25 Cr ,"4 BHK Apartment for Sale in Aristo Anantam, Chharodi Ahmedabad",Super Area387 sqyrdUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietyAristo AnantamCar Parking1 CoveredBathroom4
,₹1.02 Cr ,"3 BHK Apartment for Sale in Propus Clara, Vastral Ahmedabad",Super Area307 sqyrdStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedSocietyPropus ClaraCar Parking1 CoveredBathroom3
,₹1.04 Cr ,"3 BHK Apartment for Sale in Shilp Serene, Shilaj Ahmedabad",Carpet Area968 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedSocietyShilp SereneBathroom3
Shafalya Aurum Legacy,₹1.89 Cr ,"4 BHK Apartment for Sale in Shafalya Aurum Legacy, Science City Ahmedabad",Carpet Area1960 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyShafalya Aurum LegacyBathroom4Balcony1
Trogon Centre Court,₹2.77 Cr ,"4 BHK Apartment for Sale in Trogon Centre Court, Vaishnodevi Circle Ahmedabad",Carpet Area2345 sqftUnder ConstructionPoss. by Mar '28TransactionNew PropertyFurnishingUnfurnishedSocietyTrogon Centre CourtBathroom4Balcony1
Prime Signor Heritage,₹7.9 Lac ,"3 BHK Apartment for Sale in Prime Signor Heritage, Zundal Ahmedabad",Super Area216 sqftUnder ConstructionPoss. by Mar '28TransactionNew PropertyFurnishingUnfurnishedSocietyPrime Signor HeritageBathroom2Balcony1
SHELADIA TREETOP,₹5 Cr ,"4 BHK Apartment for Sale in SHELADIA TREETOP, Thaltej Ahmedabad",Super Area6262 sqftUnder ConstructionPoss. by Mar '27TransactionNew PropertyFurnishingUnfurnishedSocietySHELADIA TREETOPBathroom4Balcony2
Shivalik Green View,₹1.57 Cr ,"3 BHK Apartment for Sale in Shivalik Green View, Shantigram Ahmedabad",Carpet Area1284 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedSocietyShivalik Green ViewBathroom3Balcony1
Sun Skyview,₹72.7 Lac ,"3 BHK Apartment for Sale in Sun Skyview, Shela Ahmedabad",Carpet Area931 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietySun SkyviewBathroom3Balcony1
Safal Riviera Aspire,₹1.64 Cr ,"3 BHK Apartment for Sale in Safal Riviera Aspire, Shela Ahmedabad",Carpet Area1507 sqftTransactionNew PropertyFurnishingUnfurnishedSocietySafal Riviera AspireBathroom3Balcony1
Aristo Avira,₹1.49 Cr ,"3 BHK Apartment for Sale in Aristo Avira, Chharodi Ahmedabad",Carpet Area1057 sqftUnder ConstructionPoss. by Mar '30TransactionNew PropertyFurnishingUnfurnishedSocietyAristo AviraBathroom3Balcony1
Shilp Sacred,₹3.16 Cr ,"  Office Space for Sale in Shilp Sacred, Ambli Ahmedabad",Carpet Area2235 sqftUnder ConstructionPoss. by May '30TransactionNew PropertyBathroom1
