society_name,price,City,sqft,furnished_status,bhk
Ajmera Manhattan,41000000.0,Mumbai,1023,Unfurnished,3.0
Raymond The Address By GS,42000000.0,Mumbai,1313,Unfurnished,3.0
Ajmera Manhattan,71500000.0,Mumbai,1782,Unfurnished,4.0
Lodha Park,207600000.0,Mumbai,2532,Unfurnished,5.0
Lodha Park,69900000.0,Mumbai,1136,Unfurnished,3.0
Piramal Mahalaxmi,57200000.0,Mumbai,790,Unfurnished,2.0
Sobha Inizio,65800000.0,Mumbai,1225,Unfurnished,3.0
Lodha Park,77900000.0,Mumbai,1266,Unfurnished,3.0
Siddha Sky,17100000.0,Mumbai,606,Unfurnished,2.0
Equinox Embassy Citadel,130600000.0,Mumbai,1840,Unfurnished,3.0
Marathon Monte South,40000000.0,Mumbai,854,Unfurnished,2.0
Godrej Trilogy Seafront,166100000.0,Mumbai,1661,Unfurnished,3.0
Ruparel Vivanza,33600000.0,Mumbai,1058,Unfurnished,3.0
Prestige Jasdan Classic,143800000.0,Mumbai,2302,Unfurnished,4.0
Raheja Modern Vivarea,201200000.0,Mumbai,2809,Unfurnished,5.0
Raheja Imperia I,92500000.0,Mumbai,1407,Unfurnished,3.0
Piramal Mahalaxmi,105000000.0,Mumbai,1450,Unfurnished,3.0
The Wadhwa Artek Park,122800000.0,Mumbai,1890,Unfurnished,4.0
The Wadhwa Artek Park,135100000.0,Mumbai,2055,Unfurnished,4.0
The Wadhwa Artek Park,145000000.0,Mumbai,2205,Unfurnished,4.0
The Wadhwa Artek Park,96300000.0,Mumbai,1464,Unfurnished,3.0
The Wadhwa Artek Park,235900000.0,Mumbai,3630,Unfurnished,5.0
The Wadhwa Artek Park,90500000.0,Mumbai,1393,Unfurnished,3.0
Rustomjee Stella,27700000.0,Mumbai,695,Unfurnished,2.0
Rustomjee Stella,27600000.0,Mumbai,693,Unfurnished,2.0
Rustomjee Stella,37000000.0,Mumbai,928,Unfurnished,3.0
Rustomjee Stella,37500000.0,Mumbai,942,Unfurnished,3.0
Rustomjee Stella,27000000.0,Mumbai,679,Unfurnished,2.0
Disha Elysium,46300000.0,Mumbai,1070,Unfurnished,3.0
Kumar Vibe Mangrove,37600000.0,Mumbai,1090,Unfurnished,3.0
Regent Priyadarshani,49000000.0,Mumbai,1253,Unfurnished,3.0
Raymond Invictus by GS,72700000.0,Mumbai,1353,Unfurnished,3.0
Sunbeam Heights,45100000.0,Mumbai,1295,Unfurnished,5.0
Godrej Sky Shore,118200000.0,Mumbai,2155,Unfurnished,4.0
Puravankara Purva Estrella,33700000.0,Mumbai,784,Unfurnished,2.0
Bharat Auravistas,91400000.0,Mumbai,2294,Unfurnished,7.0
Sahakar Excel Acropolis,21900000.0,Mumbai,617,Unfurnished,2.0
Adani Ten BKC ,81300000.0,Mumbai,1626,Unfurnished,3.0
Rishabraj Avyaana,45600000.0,Mumbai,1340,Unfurnished,3.0
Bhairav Ocean Breeze,13700000.0,Mumbai,610,Unfurnished,2.0
Hill View Crest Oaks,30300000.0,Mumbai,1145,Unfurnished,3.0
Kolte Patil Vivere,42700000.0,Mumbai,1070,Unfurnished,3.0
Sushanku Avenue 37,24400000.0,Mumbai,827,Unfurnished,3.0
Godrej Reserve,61500000.0,Mumbai,2016,Unfurnished,4.0
Puravankara Purva Estrella,72000000.0,Mumbai,1600,Unfurnished,4.0
Shubh Nirvana,21600000.0,Pune,1332,Unfurnished,3.0
Pristine KYRA,60200000.0,Pune,2636,Unfurnished,5.0
OXY BENICIO PHASE 1,24400000.0,Pune,1129,Unfurnished,3.0
Pristine KYRA,39800000.0,Pune,1882,Unfurnished,3.0
Shubh Nirvana,21700000.0,Pune,1332,Unfurnished,3.0
Pleasant Avenue Apartment,7500000.0,Pune,485,Unfurnished,1.0
Nyati Empress,32500000.0,Pune,645,Unfurnished,3.0
Shubh Nirvana,23000000.0,Pune,1129,Furnished,3.0
DNK Square ,15000000.0,Pune,600,Furnished,3.0
Zircon,19900000.0,Pune,1115,Unfurnished,3.0
OXY BENICIO PHASE 1,13400000.0,Pune,620,Unfurnished,2.0
Shubh Nirvana,25000000.0,Pune,450,Unfurnished,3.0
Lunkad Sky Vie,45000000.0,Pune,2352,Furnished,3.0
Shubh Nirvana,24900000.0,Pune,517,Furnished,3.0
Pristine KYRA,28200000.0,Pune,1560,Furnished,3.0
Shubh Gateway,9210000.0,Pune,700,Furnished,2.0
Pristine KYRA,30100000.0,Pune,1546,Unfurnished,3.0
Rohan Mithila,23000000.0,Pune,1200,Furnished,3.0
OXY BENICIO PHASE 1,21400000.0,Pune,1129,Unfurnished,3.0
Shubh Nirvana,24000000.0,Pune,1300,Furnished,3.0
Pristine KYRA,39800000.0,Pune,1882,Furnished,3.0
Marvel Sonnet ,52500000.0,Pune,4800,Furnished,4.0
Solitaire Business Hub,23000000.0,Pune,1335,Furnished,3.0
Sky Belvedere,85000000.0,Pune,4505,Furnished,4.0
Suratwala Mark Plazzo,10500000.0,Pune,434,Furnished,3.0
Godrej Evergreen Square,13700000.0,Pune,1074,Unfurnished,3.0
Legend Aaradhyam,9450000.0,Pune,1041,Unfurnished,3.0
Kohinoor Central Park,10600000.0,Pune,955,Unfurnished,3.0
Saheel Landmarc,15700000.0,Pune,1475,Unfurnished,4.0
Godrej Eden Estate Phase 3,30400000.0,Pune,2600,Unfurnished,3.0
Kolte Patil Canvas Phase 2,19900000.0,Pune,1700,Unfurnished,4.0
Geras Joy on the Treetops,7520000.0,Pune,753,Unfurnished,2.0
Godrej Evergreen Square,8760000.0,Pune,701,Unfurnished,2.0
32 Pinewood Drive,6760000.0,Pune,710,Unfurnished,2.0
Pride Park Titan,9430000.0,Pune,789,Unfurnished,2.0
Rama Fusion Towers,6080000.0,Pune,668,Unfurnished,2.0
VTP MONARQUE,16600000.0,Pune,1490,Unfurnished,3.0
Rising High iBZ Hinjewadi ,13000000.0,Pune,1016,Unfurnished,3.0
Kolte Patil Life Republic Sector R22 Avenue Atmos,9560000.0,Pune,1014,Unfurnished,3.0
Kolte Patil Life Republic,10400000.0,Pune,1006,Furnished,3.0
PGM Zenistry,10900000.0,Pune,796,Unfurnished,2.0
Merlin Ventana,17100000.0,Pune,1135,Unfurnished,3.0
Yashada Business Zone,27600000.0,Pune,1197,Unfurnished,3.0
Merlin Ventana,17400000.0,Pune,1158,Unfurnished,3.0
Kumar Parth Towers,14800000.0,Pune,1090,Unfurnished,3.0
Jhamtani SpaceBiz,191300000.0,Pune,7740,Unfurnished,3.0
Star Elements,40000000.0,Pune,2050,Unfurnished,4.0
Kolte Patil 24K Altura,33500000.0,Pune,1725,Unfurnished,4.0
Lodha Massimo,37900000.0,Pune,1776,Unfurnished,3.0
Kalpataru Jade Skyline,19200000.0,Pune,1189,Unfurnished,3.0
Kumar Parth Towers,10500000.0,Pune,774,Unfurnished,2.0
ANP Privado,75000000.0,Pune,3000,Unfurnished,4.0
Nyati Emerald,12000000.0,Pune,838,Unfurnished,2.0
Lodha Massimo,65800000.0,Pune,3085,Unfurnished,5.0
Utsav Homes The Address,22000000.0,Pune,1350,Unfurnished,3.0
Kumar Parth Towers,10800000.0,Pune,796,Unfurnished,2.0
Mana Jardin Neo,48400000.0,Bangalore,3297,Unfurnished,4.0
LTG Aishwarya Indraprastha,7600000.0,Bangalore,2400,Unfurnished,4.0
Everfine Straatosphere,83800000.0,Bangalore,3456,Unfurnished,3.0
Nambiar District 25 Phase 1,40800000.0,Bangalore,2995,Unfurnished,4.0
Lodha Azur,16900000.0,Bangalore,1248,Unfurnished,2.0
Pragathi Amber,11300000.0,Bangalore,1550,Unfurnished,3.0
Vedanth Suraksha Courtyard ,19500000.0,Bangalore,1760,Unfurnished,3.0
Adarsh Welkin Park,14900000.0,Bangalore,1368,Unfurnished,3.0
Fortune Seven Sarjapur,15400000.0,Bangalore,1912,Unfurnished,4.0
JRC Palladio,37600000.0,Bangalore,3327,Unfurnished,4.0
Aratt Alchemy Elixir,13000000.0,Bangalore,1342,Unfurnished,3.0
Purva Silversky,26000000.0,Bangalore,1850,Unfurnished,3.0
Meridian Park at The Prestige City,23500000.0,Bangalore,1868,Unfurnished,3.0
Roach Cicada,43200000.0,Bangalore,2954,Unfurnished,4.0
NVT A Wonderful World Phase I,39900000.0,Bangalore,2368,Unfurnished,4.0
Lodha Haven,53500000.0,Bangalore,2400,Unfurnished,4.0
Aspen Greens At The Prestige City,68300000.0,Bangalore,2411,Unfurnished,4.0
